序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,Max_Close_7,Max_Date_7,天数_7,收益率_7,Max_Close_30,Max_Date_30,天数_30,收益率_30,Max_Close_90,Max_Date_90,天数_90,收益率_90
62,688071,华依科技,2021/7/31,20210729,86.37,13.73,2021/7/29,1,9,4.05%,213.18,-0.09,-0.03,43.00,2021/7/29,0,2.13,43.45,2021/8/12,14,2.16,47.11999893,2021/8/30,32,2.431900869
63,688072,拓荆科技,2022/4/30,20220420,78.57,71.88,2022/4/20,2.1,8,-17.40%,28.41,0.10,-0.03,101.59,2022/4/21,1,0.41,141.00,2022/5/18,28,0.96,200,2022/7/15,86,1.782415136
64,688073,毕得医药,2022/10/31,20221011,41.06,88,2022/10/11,2.1,-1.3,4.03%,-23.4,0.06,0.09,81.79,2022/10/14,3,-0.07,97.59,2022/11/3,23,0.11,97.68000031,2022/11/18,38,0.110000003
65,688075,安旭生物,2021/11/30,20211118,67.15,78.28,2021/11/18,2.3,12.9,15.02%,13.44,-0.07,0.00,72.32,2021/11/24,6,-0.08,84.99,2021/12/17,29,0.09,198.1441803,2022/1/14,57,1.53122356
66,688076,诺泰生物,2021/5/31,20210520,72.03,15.57,2021/5/20,1.3,9,11.50%,397.75,0.01,0.00,78.29,2021/5/25,5,4.03,91.67,2021/5/31,11,4.89,91.6737442,2021/5/31,11,4.887844843
67,688077,大地熊,2020/7/31,20200722,74.46,28.07,2020/7/22,2.7,-2.4,12.57%,117.35,0.39,-0.16,83.05,2020/7/23,1,1.96,83.05,2020/7/23,1,1.96,83.05363464,2020/7/23,1,1.958804227
68,688078,龙软科技,2019/12/31,20191230,77.36,21.59,2019/12/30,4.5,-0.5,9.54%,126.49,0.04,-0.03,50.07,2019/12/31,1,1.32,56.69,2020/1/22,23,1.63,57.50186157,2020/2/18,50,1.663356256
69,688079,美迪凯,2021/3/31,20210302,76.37,10.19,2021/3/2,0.4,4.4,0.65%,154.66,-0.15,-0.08,25.63,2021/3/2,0,1.52,25.63,2021/3/2,0,1.52,25.62899971,2021/3/2,0,1.515112827
70,688080,映翰通,2020/2/29,20200212,82.12,27.63,2020/2/12,5.2,-0.4,4.94%,383.17,0.05,-0.05,139.00,2020/2/13,1,4.03,139.00,2020/2/13,1,4.03,139.0003052,2020/2/13,1,4.030774708
71,688081,兴图新科,2020/1/31,20200106,75.65,28.21,2020/1/6,5.4,0.1,3.79%,86.92,0.02,0.03,54.69,2020/1/8,2,0.94,57.42,2020/1/22,16,1.04,57.41506577,2020/1/22,16,1.035273512
72,688082,盛美上海,2021/11/30,20211118,72.49,85,2021/11/18,2.3,12.9,20.50%,52.65,-0.03,0.10,137.90,2021/11/22,4,0.62,137.90,2021/11/22,4,0.62,137.8999939,2021/11/22,4,0.622352869
73,688083,中望软件,2021/3/31,20210311,71.28,150.5,2021/3/11,0.4,4.4,-1.36%,171.76,0.10,-0.11,318.62,2021/3/12,1,1.12,336.22,2021/4/6,26,1.23,436.6785889,2021/5/31,81,1.901518863
